zip,irs_returns,irs_pop,irs_income,statefips,state,irs_mean_hh_income,irs_ui_pct,irs_pct_with_Kinc,irs_avg_K_income,irs_K_inc_reliance,irs_pct_with_LLCinc,irs_LLC_inc_reliance,irs_avg_mort,irs_mort_inc_ratio,irs_SSI_reliance,irs_EITC_pct,irs_avg_AGI,irs_mean_ind_income
01355,460,870,26910,25,"MA",58500,.0869565,.173913,504.3478,.0086213,0,0,2080.435,.035563,.0270903,.1086956,57369.57,30931.04
01360,1470,2720,88912,25,"MA",60484.36,.0680272,.1972789,1995.918,.0329989,.047619,.0157009,1890.476,.0312556,.0323803,.1088435,59534.01,32688.23
01364,3310,6210,149559,25,"MA",45183.99,.0845921,.1117825,777.9456,.0172173,.0181269,.0071945,1262.538,.0279422,.0289518,.2054381,44703.02,24083.57
01366,590,1080,41868,25,"MA",70962.71,.0677966,.2372881,2216.949,.031241,.0508475,.0268463,2196.61,.0309544,.033319,.1016949,69471.19,38766.67
01367,230,450,12042,25,"MA",52356.52,0,.1304348,1043.478,.0199302,0,0,1178.261,.0225046,.0612855,.173913,51939.13,26760
01368,540,1050,32990,25,"MA",61092.59,.0925926,.1296296,2225.926,.0364353,0,0,2148.148,.0351622,.0250985,.1296296,60381.48,31419.05
01370,2000,3390,112827,25,"MA",56413.5,.07,.225,2282,.0404513,.055,.0256144,1381,.02448,.0386698,.135,55021,33282.3
01373,2320,4000,159500,25,"MA",68750,.0603448,.2112069,2671.121,.0388527,.0560345,.0446834,1937.069,.0281755,.0337053,.0905172,67580.6,39875
01375,1850,2910,108319,25,"MA",58550.81,.0648649,.1891892,2817.838,.0481264,.0378378,.0486434,1289.189,.0220183,.0245756,.1027027,57323.79,37223.02
01376,2520,4250,104110,25,"MA",41313.49,.0793651,.1031746,595.6349,.0144174,.0119048,.0056383,970.6349,.0234944,.030074,.1944444,40838.89,24496.47
01378,360,630,17137,25,"MA",47602.78,0,.1666667,455.5555,.0095699,0,0,1350,.0283597,.0332614,.1388889,46750,27201.59
01379,410,710,19514,25,"MA",47595.12,.097561,.1707317,870.7317,.0182946,0,0,1614.634,.0339244,.0292098,.1951219,47012.2,27484.51
01420,17530,32350,785174,25,"MA",44790.3,.0884199,.0838562,463.1489,.0103404,.0154022,.0137167,1398.346,.0312198,.0243653,.2298916,44358.87,24271.22
01430,2950,5720,210739,25,"MA",71436.95,.0847458,.159322,2210.169,.0309387,.040678,.0209833,2810.847,.0393473,.0218612,.0915254,70647.46,36842.48
01431,1520,2860,99478,25,"MA",65446.05,.0723684,.1447368,946.7105,.0144655,.0460526,.01341,2782.895,.042522,.024709,.0789474,64320.39,34782.52
01432,4110,7240,259868,25,"MA",63228.22,.0705596,.1605839,993.4307,.0157118,.0340633,.0131143,2501.46,.0395624,.0229886,.1143552,62478.34,35893.37
01434,210,390,14237,25,"MA",67795.23,.0952381,.1904762,866.6667,.0127836,0,0,2847.619,.0420032,0,.0952381,67233.34,36505.13
01436,1380,2500,67174,25,"MA",48676.81,.0869565,.0797101,225.3623,.0046298,0,0,1655.797,.0340161,.0253223,.1449275,48215.22,26869.6
