zip,pct_dis,pct_dis_pop18_64,pct_dis_pop65over,age_adj_dis18_64,age2_adj_dis18_64
57465,9.3,8.8,20.6,-2.857782,-2.624607
57466,8.5,5.8,33.3,-7.551156,-3.637241
57467,11.6,4.6,35.7,-8.055049,-16.20672
57468,19.1,16.8,58.8,3.694764,6.497661
57469,21.7,18.2,49.5,6.304555,2.934793
57470,10.1,0,35.3,-16.5722,-17.6303
57471,9.5,4.7,26.6,-6.627982,-11.9718
57472,13.3,10,30.5,-2.631099,-7.787186
57473,5.6,3.8,44,-9.523965,-14.17524
57474,21.3,15.9,17.9,11.49505,13.84394
57475,13.1,3.2,42.3,-9.262756,-2.500156
57476,8.2,4.1,35.2,-5.463922,-7.923141
57477,21.1,13.7,41.7,-1.22637,-15.03115
57479,14.2,11,53.2,-.6313953,9.224695
57481,22.4,19,64.3,11.08978,5.971677
57501,10.3,7,38.7,-4.619792,-4.73074
57520,20.1,4.2,58.9,-12.57566,-19.87055
57521,11.4,7.1,42.1,-5.976678,-13.11411
57522,15,7.5,61.4,-5.348491,-5.546072
57523,16.5,11.5,42.9,-.6206493,-2.390042
57528,11.9,10.2,44.1,-.856962,-1.298373
57529,14.2,4.6,57.3,-8.059144,-14.94994
57531,21.4,12.1,77.5,-1.800323,-3.473263
57532,8.3,8.3,19.3,-3.38851,-1.709557
57533,19,15.1,39.4,1.614812,-.9507679
57534,10.2,5.2,30.8,-6.000603,-5.825828
57536,9.3,7.3,17.6,-3.014581,-10.93428
57537,8.4,11.8,0,.216235,-18.86318
57538,16,8.4,53.5,-6.697288,-8.283113
57540,6.8,0,33.3,-10.60692,-10.80571
57541,8.3,20.3,0,9.608593,20.64219
57543,18.2,16.6,42.9,4.849712,3.923384
57544,11.1,5.2,46.8,-6.740725,-9.031471
57547,12.4,14.6,0,1.693055,6.308929
57548,7.5,7.5,34.8,-3.064429,-7.851752
57551,15.7,13.9,46.9,2.396984,.2373118
57552,21.1,17.4,54.5,4.520047,.5328525
57553,7.2,3.8,16.7,-8.09914,-1.63299
57555,19.7,22.4,69.4,11.16635,8.820508
57559,18.1,15.7,36.3,4.644075,.5686209
57560,13,10.7,51.7,.8543569,-1.902167
57562,0,0,0,-11.4521,-21.91066
57563,29.8,32.8,57.1,24.45182,13.07126
57564,10.2,5.8,37.4,-5.833472,-8.143264
57566,14.2,20,87.1,10.00273,3.360016
57567,17.8,11.3,45.8,-3.63851,-5.076173
57568,7.8,3.8,23.3,-9.214325,-12.86254
57569,17.8,11.9,44.3,2.700043,4.49192
57570,16.9,20.6,62.8,11.62359,12.29697
57571,0,0,0,-16.46022,-49.04069
57572,17.5,22,67.4,12.59084,11.73818
57574,10.9,14.1,0,-2.916152,-5.153353
57576,6.2,0,14.3,-13.08607,-14.23042
57577,11,14.7,30.2,5.108222,.1559822
57579,16.3,16.8,42.6,5.714094,3.801505
57580,11.4,8.5,28.3,-3.914115,-5.4095
57584,42.9,25,100,10.04257,6.589872
57585,13.2,12.7,29.4,-.3711088,-.7498882
57601,14.3,11.6,35.6,-.7829546,-.2517199
57620,18.3,9.3,50.4,-2.623493,-2.257424
57621,11.7,18.5,,8.58517,4.323288
57622,11.5,18.2,0,8.099751,-2.903785
57623,9.7,9.2,42.7,-1.481805,-1.920193
57625,12,12.2,53.6,3.032053,-.1332319
57626,14.9,11.4,41.7,.1173491,.6763519
57630,13,10.8,22.2,-1.909572,19.72386
57631,14.7,5.8,44.4,-9.297051,-8.852384
57632,13.1,8.8,32.4,-3.154067,-1.726133
57633,7.6,3.6,30.9,-8.476244,-5.748589
57634,11.6,0,50,-16.00186,-19.75632
57636,32.8,27.6,47.8,17.68176,20.79894
57638,15.8,13.8,28.8,-.150079,-1.806399
57639,9.7,8.1,77.8,.9167234,-1.773074
57640,25.7,26.3,39.5,10.67533,17.37944
57641,13.7,5.6,35.2,-6.352417,-14.74237
57642,11.9,13.6,36.3,3.527346,-.016066
57644,14,3.1,54.2,-11.30169,-7.586561
57645,17.8,10.1,40.3,-4.119955,-10.5798
57646,9,11.6,14.1,-1.275006,-2.89962
57648,21.6,9.3,44.3,-6.459973,-3.677239
57649,2.9,1.2,16.2,-13.97787,-15.18798
57650,8.3,9.1,0,-7.890589,18.25754
57651,6.4,3.3,50,-10.77746,-7.087185
57652,9.1,17.6,0,6.556531,.7290703
57656,12.6,8.1,38.8,-5.136365,-8.319918
57657,7.2,4.8,30,-9.118481,-9.051014
57658,17.7,13,64.7,2.839245,-1.943458
57659,13.7,5.6,35.2,-6.352417,-14.74237
57660,20.8,4,63.6,-2.570194,-7.701955
57661,2.5,0,30,-7.593496,-13.99638
57701,16.4,15.2,43.4,3.83668,2.32593
57702,11.4,9.9,26.4,-2.512455,-2.674585
57703,9.9,8.8,39.9,-1.455729,-3.953999
57706,2.2,1.3,,-9.440654,-14.42672
57709,16.4,15.2,43.4,3.83668,2.32593
57714,8.9,12.4,100,4.079252,2.083918
57716,7.2,5.5,25.8,-4.099316,1.857228
57717,15,14,35.7,1.705939,-.68892
57718,11.3,10.6,30.2,-1.053957,-2.647097
57719,16.7,19.9,30,11.07256,10.66456
57720,10.3,6.9,34,-5.462823,-4.78238
57722,27.6,18,52.6,5.102157,-5.170095
57724,7.3,3.6,38.7,-9.986617,-5.723892
57725,12.1,0,25.9,-12.68188,-13.0922
57730,16,10.9,35.3,-4.664795,-5.74147
57732,15.3,13,37.1,-.2284479,.3948784
57735,26.5,24.3,44.2,9.92725,8.178395
57737,10.5,7.6,28.8,-2.945034,1.173017
57738,27,25,66.7,14.83204,12.36656
57741,0,0,,-13.9581,-29.90277
57744,11.2,9.2,21.7,-2.825059,-5.38694
57745,15.8,10.2,38.6,-3.450591,-3.256355
57747,19,15.5,45.1,.9098196,.6050348
57748,19.4,18.9,41,8.425631,-1.74019
57750,3.9,4.1,10,-8.351942,-7.851337
57751,16.1,11.2,49.5,-4.512478,-2.422882
57752,9.1,7.9,44.1,-.4139381,-5.063838
57754,15.7,12.7,47.7,-.4556988,1.996109
57755,7.9,6.8,25,-4.456706,-7.96412
57756,17.2,16.9,89.5,6.009183,2.817169
57758,15.3,9.3,26.9,.0942915,-7.195323
57759,12.2,9.6,56.3,-4.899562,-9.067619
57760,16.5,18.1,31,4.648264,.9536644
57761,10.5,7.6,28.8,-2.945034,1.173017
57762,15.4,13.6,45.8,.3592697,-1.914835
57763,14,10.5,33.8,-3.516944,-.4390373
57764,11,12,29,3.908133,1.229451
57766,22.1,0,69.3,-14.92434,-13.36188
57767,16.5,0,43.2,-13.56646,-20.33896
57769,15.9,13,52.4,.4857512,2.512325
57770,9.5,11,41.1,1.543788,-.3682384
57772,19.1,19.3,75,10.46155,6.677279
57773,4.2,3.4,14.5,-9.23267,-11.81209
57775,7.5,4.7,31.1,-6.280764,-5.598309
57779,23.9,0,54.8,-13.04763,-9.632665
57780,13.3,0,52.4,-10.04696,-9.385309
57782,28.1,50,19.4,30.64989,30.70662
57783,15.2,11.2,43.9,-1.001431,-1.653795
57785,16.4,12.1,48.3,-.5839056,-.1918787
57787,7.6,5.8,31.5,-7.376894,-10.39174
57788,24.3,22.4,49.3,6.218585,3.117966
57790,13.3,10.2,47,-3.817473,-2.426619
57791,5.4,0,25.6,-8.735833,-13.43193
57792,0,0,,-10.98586,-15.69461
57793,7.6,5.7,22.1,-7.695412,-9.808969
57794,5.5,5.9,0,-3.464765,-2.997571
57799,6.6,6.6,,-1.769875,-.1278628
58001,15.4,5.4,40,-8.162688,-16.89099
58002,0,0,0,-9.885047,-8.830254
58004,6.8,6.3,5.1,-4.649261,-.0041997
58005,12.3,9.6,42.1,2.312079,-2.166846
58006,15,7.4,60.3,.4915842,-.376258
58007,12.3,0,83.3,-10.52778,-22.58607
58008,14,8.7,32.7,-4.59042,-5.091302
58009,50,0,100,-10.76324,-13.81322
58011,11.6,10.3,32.3,-.1446135,2.22722
58012,11,5.2,53.7,-4.891069,-4.714207
58013,10.1,8.6,22.2,-8.901405,-19.22965
58015,2.7,1.7,14.3,-9.145895,-7.206858
58016,2.2,2.2,4,-4.311667,8.26522
58017,12.1,7,31.6,-10.25658,-16.32561
58018,11.3,6.6,41.3,-4.740766,-12.17773
58021,6.1,4.6,25.5,-6.49117,-13.11954
58027,12.4,8.8,32,-3.980147,-5.781791
58029,13.3,20.2,20,8.849882,7.561729
58030,13.5,8.4,35.7,-5.557501,-9.326824
58031,9.3,5.5,29.6,-7.974028,-6.702584
58032,11.9,7.2,32.9,-6.067331,-8.137284
58033,8.3,8.2,18.8,-3.948484,-8.454087
58035,5.3,5.4,10,-7.620155,-13.34343
58036,16.6,1.9,69.3,-11.11984,-11.08354
58038,8,7.5,37,-3.637906,.4631257
58040,7.5,3.2,22,-7.01045,-10.08926
58041,11.4,4.9,41.9,-7.540515,-10.74314
58042,11.8,10.2,38.7,-.4417236,3.00502
58043,13.5,22.2,10.8,10.78682,2.824928
58045,8.3,5.8,27.7,-5.912284,-8.524967
58046,7.9,2.7,33.6,-12.02424,-10.66682
58047,6,7,19.3,-.6309023,1.379536
58048,8.3,6.8,50,-1.825995,-.6514818
58049,18.3,19.1,36.1,5.463848,5.904074
58051,9.4,8.8,31.1,-.7695877,-.2633793
58052,8.3,8.3,19.1,-4.432491,-2.129901
58053,14.3,9.4,36.8,-3.134172,-5.536796
58054,16.1,14.7,39.7,2.862802,4.360934
58056,18.3,20.7,28.2,8.732162,6.50251
58057,9.8,4.4,53.3,-4.755579,-6.139171
58058,6.3,0,42.9,-12.38094,-4.081666
58059,12.8,11.1,39.5,-1.298762,-1.847158
58060,10.3,10.4,32,-1.341546,-1.363126
58061,7.7,5,51.4,-3.975298,-2.997704
58062,20,22.8,30.2,5.661237,3.029769
58063,18.9,5.8,66.2,-4.9841,-7.528979
58064,7.5,7.4,14.5,-5.166266,-7.44495
58065,34.2,23.1,58.3,-.3219322,8.873377
58067,13.9,3.7,59.5,-13.91547,-17.33652
58068,16.1,13.2,29.1,2.337701,-6.711806
58069,13.3,9.5,30,-.0904741,4.745043
58071,8.4,6.8,22.7,-2.302054,1.829325
58072,11,6.3,35.3,-5.951089,-5.980241
58074,8.4,6.5,28.4,-4.698855,-5.751659
58075,8.4,6.5,28.4,-4.698855,-5.751659
58076,7.3,7.3,,-1.108134,-.2531697
58077,8.9,6.5,19.8,-3.077228,-.6269803
58078,7.9,6.5,37.1,-3.473936,-3.44725
58079,17.3,9.5,59.3,.1190023,-2.189034
58081,11.8,7.3,38.6,-5.534055,-11.17683
58102,9.4,8.8,27.5,-2.383126,-1.847435
58103,10.8,10.2,32.1,-1.347548,.8451378
58104,6.5,2.5,45,-7.873466,-8.683699
58105,1.6,1.6,,-6.722936,-.0916791
58106,10.8,10.2,32.1,-1.347548,.8451378
58107,9.4,8.8,27.5,-2.383126,-1.847435
58108,9.4,8.8,27.5,-2.383126,-1.847435
58109,10.8,10.2,32.1,-1.347548,.8451378
58121,10.8,10.2,32.1,-1.347548,.8451378
58122,9.4,8.8,27.5,-2.383126,-1.847435
58124,10.8,10.2,32.1,-1.347548,.8451378
58125,10.8,10.2,32.1,-1.347548,.8451378
58126,10.8,10.2,32.1,-1.347548,.8451378
58201,11.1,8.5,33.8,-3.204556,-2.311095
58202,1.3,1.3,,-6.989736,-2.259961
58203,7.6,5.8,26.7,-4.850548,-2.369822
